Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Puerto Rico,US,07-25-2022,18.2208,-66.5901,838363,4728,0.0,0.0,72.0,26250.573786968947,4481534.0,0.0,0.5639561860435157,630.0,PRI,140324.46439765362,0.0
Rhode Island,US,07-25-2022,41.6809,-71.5118,409171,3627,0.0,0.0,44.0,38624.32164295269,8242044.0,0.0,0.8864264573980072,84000044.0,USA,778020.3349000011,0.0
South Carolina,US,07-25-2022,33.8569,-80.945,1587503,18132,0.0,0.0,45.0,30833.0002404484,12808249.0,0.0,1.1421710699129388,84000045.0,USA,248765.9831173377,0.0
South Dakota,US,07-25-2022,44.2998,-99.4388,248788,2947,0.0,0.0,46.0,28122.474309310142,1360984.0,0.0,1.184542662829397,84000046.0,USA,153842.78009945076,0.0
Tennessee,US,07-25-2022,35.7478,-86.6923,2183151,26945,0.0,0.0,47.0,31968.00960116113,13415222.0,0.0,1.23422520934191,84000047.0,USA,196439.89155935988,0.0
Texas,US,07-25-2022,31.0545,-97.5635,7483603,89128,0.0,0.0,48.0,25809.19338163928,51085324.0,0.0,1.1909771269266956,84000048.0,USA,176181.31347690383,0.0
Utah,US,07-25-2022,40.15,-111.8624,1004426,4884,0.0,0.0,49.0,31329.979993499604,6324250.0,0.0,0.4862478669409195,84000049.0,USA,197265.5287436704,0.0
Vermont,US,07-25-2022,44.0459,-72.7107,137264,689,0.0,0.0,50.0,21997.823679584097,3758032.0,0.0,0.5019524420095582,84000050.0,USA,602259.3346998104,0.0
Virgin Islands,US,07-25-2022,18.3358,-64.8963,21601,120,0.0,0.0,78.0,20137.412835141888,446326.0,0.0,0.5555298365816398,850.0,VIR,416084.9461162695,0.0
Virginia,US,07-25-2022,37.7693,-78.17,1941358,20873,0.0,0.0,51.0,22744.463459105416,14403541.0,0.0,1.0751752124028644,84000051.0,USA,168748.27412369417,0.0
Washington,US,07-25-2022,47.4009,-121.4905,1726045,13561,0.0,0.0,53.0,22666.70063518949,0.0,0.0,0.7856689715505679,84000053.0,USA,0.0,0.0
West Virginia,US,07-25-2022,38.4912,-80.9545,551008,7123,0.0,0.0,54.0,30745.6921781528,6631520.0,0.0,1.2927217027701958,84000054.0,USA,370032.1458005398,0.0
Wisconsin,US,07-25-2022,44.2685,-89.6165,1768453,14893,0.0,0.0,55.0,30373.08795599916,17208065.0,0.0,0.8421484766629365,84000055.0,USA,295547.6180580149,0.0
Wyoming,US,07-25-2022,42.756,-107.3025,168678,1850,0.0,0.0,56.0,29144.773558596928,1467356.0,0.0,1.0967642490425544,84000056.0,USA,253534.8910340919,0.0
