FIPS,Date,Province_State,Lat,Long_,Confirmed,Deaths,Testing_Rate,Mortality_Rate
40.0,04-13-2020,OK,35.5653,-96.9289,2069,99,624.9668501550456,4.784920251329145
41.0,04-13-2020,OR,44.572,-122.0709,1584,53,776.6514918366868,3.345959595959596
42.0,04-13-2020,PA,40.5908,-77.2098,24505,610,1031.1184185386498,2.489287900428484
44.0,04-13-2020,RI,41.6809,-71.5118,2665,100,1950.3266591841689,3.75234521575985
45.0,04-13-2020,SC,33.8569,-80.945,3391,82,623.514997594234,2.4181657328221764
46.0,04-13-2020,SD,44.2998,-99.4388,868,6,1223.2773287384562,0.6912442396313364
47.0,04-13-2020,TN,35.7478,-86.6923,5606,109,1160.6370761968635,1.944345344273992
48.0,04-13-2020,TX,31.0545,-97.5635,10404,337,579.6325629190829,3.2391387927720108
49.0,04-13-2020,UT,40.15,-111.8624,2363,13,1597.6582427329529,0.5501481168006771
50.0,04-13-2020,VT,44.0459,-72.7107,748,28,1697.699442016014,3.7433155080213902
51.0,04-13-2020,VA,37.7693,-78.17,5747,149,523.5841122618161,2.592657038454846
53.0,04-13-2020,WA,47.4009,-121.4905,10635,582,1242.5088447391138,5.472496473906912
54.0,04-13-2020,WV,38.4912,-80.9545,611,8,1258.8832333835728,1.309328968903437
55.0,04-13-2020,WI,44.2685,-89.6165,3428,154,7.40583748995695e-08,4.492415402567095
56.0,04-13-2020,WY,42.756,-107.3025,275,1,1199.420802831631,0.3636363636363636
1.0,04-14-2020,AL,32.3182,-86.9023,4041,114,1377.8187035569738,2.8210838901262063
2.0,04-14-2020,AK,61.3707,-152.4044,285,9,1396.572809,3.1578947368421053
4.0,04-14-2020,AZ,33.7298,-111.4312,3809,131,605.8210534,3.439222893147808
5.0,04-14-2020,AR,34.9697,-92.3731,1498,32,816.1753431,2.136181575433912
6.0,04-14-2020,CA,36.1162,-119.6816,24541,781,515.7233282,3.178354590277495
8.0,04-14-2020,CO,39.0598,-105.3111,7950,327,683.6646983,4.113207547169812
9.0,04-14-2020,CT,41.5978,-72.7554,13989,671,1285.759043,4.796625920366002
10.0,04-14-2020,DE,39.3185,-75.5071,1926,61,1263.550511,3.167185877466251
12.0,04-14-2020,FL,27.7663,-81.6868,21628,571,1643.9674254322044,2.640096171629369
13.0,04-14-2020,GA,33.0406,-83.6431,14578,525,609.4546291,3.601317053093702
15.0,04-14-2020,HI,21.0943,-157.4983,511,9,1371.676228,1.761252446183953
16.0,04-14-2020,ID,44.2405,-114.4788,1464,33,938.468063,2.2540983606557377
17.0,04-14-2020,IL,40.3495,-88.9861,23248,868,942.5636562,3.7336545079146592
18.0,04-14-2020,IN,39.8494,-86.2583,8527,529,703.19441,6.203823149994136
19.0,04-14-2020,IA,42.0115,-93.2105,1899,49,720.605423,2.5803054239073195
20.0,04-14-2020,KS,38.5266,-96.7265,1441,77,580.1545876,5.343511450381679
21.0,04-14-2020,KY,37.6681,-84.6701,2048,106,779.4518919,5.17578125
22.0,04-14-2020,LA,31.1695,-91.8678,21518,1013,2575.922298,4.70768658797286
23.0,04-14-2020,ME,44.6939,-69.3819,735,20,1051.27231,2.7210884353741496
24.0,04-14-2020,MD,39.0639,-76.8021,9472,302,904.0883612,3.1883445945945947
25.0,04-14-2020,MA,42.2302,-71.5301,28164,844,1843.752968,2.996733418548501
26.0,04-14-2020,MI,43.3266,-84.5361,27001,1768,1082.254261,6.547905633124699
27.0,04-14-2020,MN,45.6945,-93.9002,1695,79,793.3170604,4.660766961651918
28.0,04-14-2020,MS,32.7416,-89.6787,3087,111,1308.300687,3.5957240038872693
29.0,04-14-2020,MO,38.4561,-92.2884,4815,151,818.8132141,3.136033229491173
30.0,04-14-2020,MT,46.9219,-110.4544,399,7,1066.297762,1.7543859649122806
31.0,04-14-2020,NE,41.1254,-98.2681,897,20,744.5885062,2.229654403567447
32.0,04-14-2020,NV,38.3135,-117.0554,3134,126,883.7811686,4.020421186981493
33.0,04-14-2020,NH,43.4525,-71.5639,922,25,893.792872161805,2.7114967462039044
34.0,04-14-2020,NJ,40.2989,-74.521,68824,2805,1573.643437,4.075613158200627
35.0,04-14-2020,NM,34.8405,-106.2485,1345,31,1917.203438,2.3048327137546467
36.0,04-14-2020,NY,42.1657,-74.9481,203020,10811,2960.336041,5.32509112402719
37.0,04-14-2020,NC,35.6301,-79.8064,5113,112,655.7755568,2.190494817132799
38.0,04-14-2020,ND,47.5289,-99.784,364,8,1800.078494,2.346041055718475
39.0,04-14-2020,OH,40.3888,-82.7649,7285,434,607.4355684,5.957446808510638
40.0,04-14-2020,OK,35.5653,-96.9289,2184,108,772.8766738,4.945054945054945
41.0,04-14-2020,OR,44.572,-122.0709,1633,55,807.6466769,3.368034292712798
42.0,04-14-2020,PA,40.5908,-77.2098,25612,716,1061.616936,2.7955645791035453
